CELL.TYPE	OC_POP	N	NUM_MANUAL_POPS_ZEROED_OUT	PEARSON	SPEARMAN	MEDIAN_OC_FREQ	MEDIAN_MANUAL_FREQ	MEAN_OC_FREQ	MEAN_MANUAL_FREQ	SD_OC_FREQ	SD_MANUAL_FREQ	FILTER
Central Memory Naïve T cells	central memory helper Tcells (CCR7+ CD45RA-)	100	0	0.881394941408738	0.878720416749951	33.9947941929553	39.5	35.856038789392	42.27	13.0706553289088	16.6730200011754	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Effector Helper T cells	effector helper Tcells (CCR7- CD45RA+)	100	0	0.544346717422779	0.549982415925853	3.82424775156362	0.55	7.10841883129121	2.484	8.93627010263554	4.65673662123981	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Effector memory helper T cells	effector memory helper Tcells (CCR7- CD45RA-)	100	0	0.676028691961155	0.498580570974113	14.7415123952047	3.4	16.8011086025042	8.256	9.96307000777376	11.6591951833406	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Naïve Helper T cells	naive helper Tcells (CD95- CD28+)	100	0	0.984798729589704	0.983894003139786	42.288089434874	37.3	42.1373478888788	36.675	21.1515935807	18.7658209347083	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Dendritic cells, Natural Killer lymphocytes, monocytes 	DC NK MONOCYTES (CD3- CD19-)	100	0	0.989631368916256	0.987062163697958	25.4842204543592	25.25	27.0985073514072	27.03	10.9864741318353	10.3334848473741	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Dendritic cells, Natural Killer lymphocytes	DC NK (CD20- CD14-)	100	0	0.921920327933159	0.920158184471481	53.5789496593245	55.6	54.3240990568316	55.682	15.4190162930617	15.0194176002435	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Dendritic cells	DC (HLA-DR+)	100	0	0.971789128768016	0.95917522517681	10.8352920081174	10.95	13.2699460840694	13.151	8.78202601891912	8.10476222396874	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Myeloid Dendritic cells	Myeloid DC (CD11c+ CD123-)	100	0	0.519434139283037	0.598524991076707	69.060729808222	68.85	66.8448646490265	68.236	11.9155238857305	12.2750837393511	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Plasmacytoid Dendritic cells	Plasmacytoid DC (CD11c- CD123+)	100	0	0.245668248659237	0.549447318836245	17.4157461752845	13.75	19.84383854818	14.928	10.815629849242	7.85227342747296	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Natural Killer lymphocytes	NK (CD16+)	100	0	0.888759380436133	0.922502208199811	64.191661087625	67.45	62.5957773499346	66.694	15.2102599337433	13.3302407019422	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
CD56HI Natural Killer lymphocytes	NK CD56HI	100	0	0.106946807926153	0.052201292642544	0.418367463476757	2.65	0.673094050852487	3.347	0.897139683029377	2.9845546848176	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
CD56LO Natural Killer lymphocytes	NK CD56LO	100	0	0.623424498726909	0.667464805676943	97.6601278224658	90.55	95.9287154776293	88.758	3.78810004950452	6.72099349317893	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
MONOCYTES	MONOCYTES (CD14+)	100	0	0.882268386203653	0.866462040995072	30.7440763569541	40.85	31.037507139251	41.582	14.0287120116849	15.0087945935546	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Classical monocytes	Classical monocytes (CD16- CD14+)	100	0	0.304325689112	0.627808803784918	96.9458629459082	95.55	95.416029500036	95.137	4.97510437650156	2.96660384679828	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Non classical monocytes	Non classical monocytes (CD16+ CD14+)	100	0	0.329385239311307	0.654990413539799	3.05413705409173	2.5	4.58397049996402	3.041	4.97510437650156	2.36498425048678	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
B lymphocytes	B cells (CD3- CD19+)	770	0	0.828500776893143	0.912646101137308	4.97390479910618	5	6.3215740135289	5.98194805194805	5.84518468081438	5.36175338122661	All P1-P2 matched samples  without abnormal/bad/manual annotations
IgD+ memory B cells	IgD+ memory Bcells (CD27+)	685	85	0.870797118905253	0.887977498533674	10.4117843990626	11.2	12.7159525330658	12.8417518248175	9.99433025282443	9.07409766250129	All P1-P2 matched samples  without abnormal/bad/manual annotations
IgD- memory B cells	IgD- memory Bcells (CD27+)	685	85	0.840939872632128	0.914853810422123	8.41750841750842	6.3	10.5256775914086	7.86306569343066	8.58129228150096	6.55351960726098	All P1-P2 matched samples  without abnormal/bad/manual annotations
