BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(2e+05,6e+05]	LSR	0.161603734067124	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	FALSE	NA
(0,2e+04]	FORTESSA	1.57614880379272	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.49047519289891	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	0.688814157826552
(0,2e+04]	LSR	1.73995294704391	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.427371019972635	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	0.754377829182842
(0,5e+03]	FORTESSA	0.695403019436022	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(5e+03,1e+04]	FORTESSA	0.573409299602315	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1e+04,1.5e+04]	FORTESSA	0.474553189341954	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.5e+04,2e+04]	FORTESSA	0.376084598947213	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(2e+04,3e+04]	FORTESSA	0.316039267160342	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(3e+04,4e+04]	FORTESSA	0.305907994194207	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(4e+04,5e+04]	FORTESSA	0.225458178402548	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(5e+04,6e+04]	FORTESSA	0.266725144920322	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(6e+04,7e+04]	FORTESSA	0.258388520974174	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(7e+04,8e+04]	FORTESSA	0.318061811411658	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(8e+04,9e+04]	FORTESSA	0.262138399896685	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(9e+04,1e+05]	FORTESSA	0.226828008024252	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1e+05,1.1e+05]	FORTESSA	0.185981259462615	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	FORTESSA	0.446889162245371	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	FORTESSA	0.237874519261881	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.3e+05,1.4e+05]	FORTESSA	0.141603017232727	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.4e+05,1.5e+05]	FORTESSA	0.165363417540064	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	FORTESSA	0.335996907870266	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.6e+05,1.7e+05]	FORTESSA	0.197039068867953	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	FORTESSA	0.315088962879958	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	FORTESSA	0.00636439560921979	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.9e+05,2e+05]	FORTESSA	0.360323822438097	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(2e+05,6e+05]	FORTESSA	0.27055624617477	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(0,5e+03]	LSR	0.856077601609939	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(5e+03,1e+04]	LSR	0.541642677267822	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1e+04,1.5e+04]	LSR	0.408812094071705	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.5e+04,2e+04]	LSR	0.318444294233201	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(2e+04,3e+04]	LSR	0.340410295531982	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(3e+04,4e+04]	LSR	0.28680007649736	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(4e+04,5e+04]	LSR	0.249194143700441	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(5e+04,6e+04]	LSR	0.350747032234474	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(6e+04,7e+04]	LSR	0.213198391179648	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(7e+04,8e+04]	LSR	0.281711421991488	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(8e+04,9e+04]	LSR	0.268030300157815	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(9e+04,1e+05]	LSR	0.216678812826167	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1e+05,1.1e+05]	LSR	0.217623136142154	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	LSR	0.223276099041595	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	LSR	0.113471569043176	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.4e+05,1.5e+05]	LSR	0.131931679466349	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	LSR	0.0366000121475139	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	LSR	0.343798235230769	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	LSR	0.0758622123215639	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(1.9e+05,2e+05]	LSR	0.0654629149279077	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(2e+05,6e+05]	LSR	0.075766805745188	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	FALSE	NA
(0,2e+04]	FORTESSA	0.55827828873043	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.273409622200673	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	0.510262842528896
(0,2e+04]	LSR	0.673803859392894	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.274891078267066	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	0.592031012534202
(0,5e+03]	FORTESSA	0.362267591356981	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(5e+03,1e+04]	FORTESSA	0.19698956667177	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1e+04,1.5e+04]	FORTESSA	0.112092856821278	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.5e+04,2e+04]	FORTESSA	0.100408251419688	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(2e+04,3e+04]	FORTESSA	0.0957188764275232	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(3e+04,4e+04]	FORTESSA	0.103944398110126	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(4e+04,5e+04]	FORTESSA	0.0877519570909484	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
