BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(0,2e+04]	LSR	10.1720181298974	Live Single Lymphocytes	central memory helper Tcells (CCR7+ CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	2.52664780226586	Live Single Lymphocytes	central memory helper Tcells (CCR7+ CD45RA-)	panel1	TRUE	0.75160801229408
(0,2e+04]	FORTESSA	22.3196273092307	Live Single Lymphocytes	effector helper Tcells (CCR7- CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	9.65340194615397	Live Single Lymphocytes	effector helper Tcells (CCR7- CD45RA+)	panel1	TRUE	0.567492690966143
(0,2e+04]	LSR	32.7924626184665	Live Single Lymphocytes	effector helper Tcells (CCR7- CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	13.0858192032401	Live Single Lymphocytes	effector helper Tcells (CCR7- CD45RA+)	panel1	TRUE	0.600950396574637
(0,2e+04]	FORTESSA	12.1638023069452	Live Single Lymphocytes	effector memory helper Tcells (CCR7- CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.45323148112042	Live Single Lymphocytes	effector memory helper Tcells (CCR7- CD45RA-)	panel1	TRUE	0.798317054222454
(0,2e+04]	LSR	15.9397529298844	Live Single Lymphocytes	effector memory helper Tcells (CCR7- CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	3.13167803260167	Live Single Lymphocytes	effector memory helper Tcells (CCR7- CD45RA-)	panel1	TRUE	0.80353032783022
(0,2e+04]	FORTESSA	3.52125614218714	Live Single Lymphocytes	naive helper Tcells (CCR7+ CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	1.30452525545373	Live Single Lymphocytes	naive helper Tcells (CCR7+ CD45RA+)	panel1	TRUE	0.629528440199339
(0,2e+04]	LSR	6.13150442644091	Live Single Lymphocytes	naive helper Tcells (CCR7+ CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	1.98149035859912	Live Single Lymphocytes	naive helper Tcells (CCR7+ CD45RA+)	panel1	TRUE	0.676834554656059
(0,2e+04]	FORTESSA	30.3345043015411	Live Single Lymphocytes	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	11.5335676620471	Live Single Lymphocytes	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	panel1	TRUE	0.619787172145708
(0,2e+04]	LSR	28.069927621957	Live Single Lymphocytes	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	7.07427699160605	Live Single Lymphocytes	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	panel1	TRUE	0.747976657194072
(0,2e+04]	FORTESSA	5.79391814004131	Live Single Lymphocytes	effector cytotoxic Tcells  (CCR7-  CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.75528338992394	Live Single Lymphocytes	effector cytotoxic Tcells  (CCR7-  CD45RA+)	panel1	TRUE	0.524452482184311
(0,2e+04]	LSR	6.23340949396398	Live Single Lymphocytes	effector cytotoxic Tcells  (CCR7-  CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	2.25542388761968	Live Single Lymphocytes	effector cytotoxic Tcells  (CCR7-  CD45RA+)	panel1	TRUE	0.638171711676622
(0,2e+04]	FORTESSA	25.9232044758431	Live Single Lymphocytes	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	7.7392485714145	Live Single Lymphocytes	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	panel1	TRUE	0.701454788175342
(0,2e+04]	LSR	27.218194315984	Live Single Lymphocytes	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	6.0719336619479	Live Single Lymphocytes	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	panel1	TRUE	0.776916367358648
(0,2e+04]	FORTESSA	13.4960553062679	Live Single Lymphocytes	naive cytotoxic Tcells (CCR7+ , CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	5.73944129810932	Live Single Lymphocytes	naive cytotoxic Tcells (CCR7+ , CD45RA+)	panel1	TRUE	0.574731937009492
(0,2e+04]	LSR	17.8863531458701	Live Single Lymphocytes	naive cytotoxic Tcells (CCR7+ , CD45RA+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	5.55202074094399	Live Single Lymphocytes	naive cytotoxic Tcells (CCR7+ , CD45RA+)	panel1	TRUE	0.689594592275736
(0,2e+04]	FORTESSA	0.642231961782395	Live Single Lymphocytes	activated cytotoxic Tcells (CD8+ HLA-DR+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.0706602642606127	Live Single Lymphocytes	activated cytotoxic Tcells (CD8+ HLA-DR+)	panel1	TRUE	0.889977035611077
(0,2e+04]	LSR	1.10603666824138	Live Single Lymphocytes	activated cytotoxic Tcells (CD8+ HLA-DR+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.0712355136254532	Live Single Lymphocytes	activated cytotoxic Tcells (CD8+ HLA-DR+)	panel1	TRUE	0.93559389514751
(0,2e+04]	FORTESSA	64.4315019832398	Live Single Lymphocytes	EM3 cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	14.4270995204956	Live Single Lymphocytes	EM3 cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	0.776086245447942
(0,2e+04]	LSR	68.1585030776677	Live Single Lymphocytes	EM3 cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	17.2532367108786	Live Single Lymphocytes	EM3 cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	0.746865967827693
(0,2e+04]	FORTESSA	41.8796403146229	Live Single Lymphocytes	EM4 cytotoxic Tcells (CD27-  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	13.0721220477179	Live Single Lymphocytes	EM4 cytotoxic Tcells (CD27-  CD28+)	panel1	TRUE	0.687864510069501
(0,2e+04]	LSR	41.1448775152005	Live Single Lymphocytes	EM4 cytotoxic Tcells (CD27-  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	12.8923280997507	Live Single Lymphocytes	EM4 cytotoxic Tcells (CD27-  CD28+)	panel1	TRUE	0.686660190081066
(0,2e+04]	FORTESSA	54.129288638713	Live Single Lymphocytes	EM2 cytotoxic Tcells (CD27+  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	14.4991168883936	Live Single Lymphocytes	EM2 cytotoxic Tcells (CD27+  CD28-)	panel1	TRUE	0.732139156951271
(0,2e+04]	LSR	75.8755340373583	Live Single Lymphocytes	EM2 cytotoxic Tcells (CD27+  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	17.5755634450439	Live Single Lymphocytes	EM2 cytotoxic Tcells (CD27+  CD28-)	panel1	TRUE	0.768363232390689
(0,2e+04]	FORTESSA	8.24220361839707	Live Single Lymphocytes	EM1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	3.70370263291566	Live Single Lymphocytes	EM1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	0.550641696760707
(0,2e+04]	LSR	10.1482491216551	Live Single Lymphocytes	EM1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	3.30426921642952	Live Single Lymphocytes	EM1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	0.674400068739086
(0,2e+04]	FORTESSA	23.5905480579473	Live Single Lymphocytes	pE cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.85802604490911	Live Single Lymphocytes	pE cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	0.878848679653872
(0,2e+04]	LSR	28.2517133090787	Live Single Lymphocytes	pE cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	2.2711311380689	Live Single Lymphocytes	pE cytotoxic Tcells (CD27-  CD28-)	panel1	TRUE	0.919610852863247
(0,2e+04]	FORTESSA	24.9021686516897	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD27+ , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	5.05075561895577	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD27+ , CD28-)	panel1	TRUE	0.797176073714646
(0,2e+04]	LSR	43.5266621427987	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD27+ , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	5.25552904190651	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD27+ , CD28-)	panel1	TRUE	0.879257246405327
(0,2e+04]	FORTESSA	17.8939318572253	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	12.1652945903711	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	0.32014413112572
(0,2e+04]	LSR	17.6663569825908	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	6.84554092822886	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD27+  CD28+)	panel1	TRUE	0.612509758804561
(0,2e+04]	FORTESSA	3.58459500688243	Live Single Lymphocytes	naive helper Tcells (CD95- CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.933599396740585	Live Single Lymphocytes	naive helper Tcells (CD95- CD28+)	panel1	TRUE	0.739552335773477
(0,2e+04]	LSR	6.01741687410937	Live Single Lymphocytes	naive helper Tcells (CD95- CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	1.13049486074831	Live Single Lymphocytes	naive helper Tcells (CD95- CD28+)	panel1	TRUE	0.812129542559633
(0,2e+04]	FORTESSA	26.1236377214582	Live Single Lymphocytes	effector memory helper Tcells (CD95- CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	10.9994678538918	Live Single Lymphocytes	effector memory helper Tcells (CD95- CD28-)	panel1	TRUE	0.578945781932326
(0,2e+04]	LSR	37.3310163337016	Live Single Lymphocytes	effector memory helper Tcells (CD95- CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	12.7658166497186	Live Single Lymphocytes	effector memory helper Tcells (CD95- CD28-)	panel1	TRUE	0.658037259537617
(0,2e+04]	FORTESSA	2.45116189240234	Live Single Lymphocytes	central memory helper Tcells (CD95+ CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.880983024120019	Live Single Lymphocytes	central memory helper Tcells (CD95+ CD28+)	panel1	TRUE	0.640585541554506
(0,2e+04]	LSR	3.09995363211912	Live Single Lymphocytes	central memory helper Tcells (CD95+ CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.860039908538768	Live Single Lymphocytes	central memory helper Tcells (CD95+ CD28+)	panel1	TRUE	0.722563621717513
(0,2e+04]	FORTESSA	10.9934793896792	Live Single Lymphocytes	naive cytotoxic Tcells (CD95- , CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.8736885324306	Live Single Lymphocytes	naive cytotoxic Tcells (CD95- , CD28+)	panel1	TRUE	0.738600634924695
(0,2e+04]	LSR	13.1206606489172	Live Single Lymphocytes	naive cytotoxic Tcells (CD95- , CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	2.78196661274206	Live Single Lymphocytes	naive cytotoxic Tcells (CD95- , CD28+)	panel1	TRUE	0.787970538436901
(0,2e+04]	FORTESSA	4.80378036218106	Live Single Lymphocytes	central memory cytotoxic Tcells (CD95+ , CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	1.50554279699442	Live Single Lymphocytes	central memory cytotoxic Tcells (CD95+ , CD28+)	panel1	TRUE	0.686592083008794
(0,2e+04]	LSR	5.79078242581526	Live Single Lymphocytes	central memory cytotoxic Tcells (CD95+ , CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	1.35834551987083	Live Single Lymphocytes	central memory cytotoxic Tcells (CD95+ , CD28+)	panel1	TRUE	0.765429708804921
(0,2e+04]	FORTESSA	6.84832058895393	Live Single Lymphocytes	effector memory cytotoxic Tcells (CD95- , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	1.73471527230127	Live Single Lymphocytes	effector memory cytotoxic Tcells (CD95- , CD28-)	panel1	TRUE	0.746694791844398
(0,2e+04]	LSR	8.10906302272062	Live Single Lymphocytes	effector memory cytotoxic Tcells (CD95- , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	1.57606413140751	Live Single Lymphocytes	effector memory cytotoxic Tcells (CD95- , CD28-)	panel1	TRUE	0.805641647254243
(0,2e+04]	FORTESSA	23.7377690126185	Live Single Lymphocytes	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	4.53578894022569	Live Single Lymphocytes	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	panel1	TRUE	0.808921009475888
(0,2e+04]	LSR	17.4444219700181	Live Single Lymphocytes	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	4.49604566253723	Live Single Lymphocytes	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	panel1	TRUE	0.742264566274272
(0,2e+04]	FORTESSA	26.828625305061	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	7.66003627484637	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	panel1	TRUE	0.714482714349089
(0,2e+04]	LSR	39.0335905699394	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	9.13556438595546	Live Single Lymphocytes	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	panel1	TRUE	0.765956340358016
(0,2e+04]	FORTESSA	25.3693670826203	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	7.81706926165828	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	panel1	TRUE	0.691869756300957
(0,2e+04]	LSR	37.1937676615454	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	8.01263490925667	Live Single Lymphocytes	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	panel1	TRUE	0.784570496267822
(0,2e+04]	FORTESSA	1.44782504198223	Live Single PBMCs	Live immune cells (CD45+ PE-)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.476789810721072	Live Single PBMCs	Live immune cells (CD45+ PE-)	panel2	TRUE	0.670685478634701
(0,2e+04]	LSR	1.54185925499627	Live Single PBMCs	Live immune cells (CD45+ PE-)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	0.512143801696795	Live Single PBMCs	Live immune cells (CD45+ PE-)	panel2	TRUE	0.667840109246525
(0,2e+04]	FORTESSA	1.54345684330964	Live Single PBMCs	Live Single immune cells(FSC-H/FSC-W)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	1.23003217673763	Live Single PBMCs	Live Single immune cells(FSC-H/FSC-W)	panel2	TRUE	0.203066686270234
(0,2e+04]	LSR	2.16115548521431	Live Single PBMCs	Live Single immune cells(FSC-H/FSC-W)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	1.78696255910868	Live Single PBMCs	Live Single immune cells(FSC-H/FSC-W)	panel2	TRUE	0.173144842500088
(0,2e+04]	FORTESSA	0.596479459088949	Live Single PBMCs	Live Single PBMCs (SSC-A/FSC-A)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.205728303267805	Live Single PBMCs	Live Single PBMCs (SSC-A/FSC-A)	panel2	TRUE	0.65509574532201
(0,2e+04]	LSR	0.706935006592088	Live Single PBMCs	Live Single PBMCs (SSC-A/FSC-A)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	0.257429435678446	Live Single PBMCs	Live Single PBMCs (SSC-A/FSC-A)	panel2	TRUE	0.635851339546146
(0,2e+04]	FORTESSA	4.34983065750142	Live Single PBMCs	DC NK MONOCYTES (CD3- CD19-)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.23319962746207	Live Single PBMCs	DC NK MONOCYTES (CD3- CD19-)	panel2	TRUE	0.486600789019028
(0,2e+04]	LSR	6.65156505524796	Live Single PBMCs	DC NK MONOCYTES (CD3- CD19-)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	5.72290041824318	Live Single PBMCs	DC NK MONOCYTES (CD3- CD19-)	panel2	TRUE	0.139615959445827
(0,2e+04]	FORTESSA	13.4798810651007	Live Single PBMCs	MONOCYTES (CD14+)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	8.70394289812832	Live Single PBMCs	MONOCYTES (CD14+)	panel2	TRUE	0.354301209625451
(0,2e+04]	LSR	18.9432540294798	Live Single PBMCs	MONOCYTES (CD14+)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	17.6140082869292	Live Single PBMCs	MONOCYTES (CD14+)	panel2	TRUE	0.0701698736912912
(0,2e+04]	FORTESSA	51.3672879514219	Live Single PBMCs	Non classical monocytes (CD16+ CD14+)	panel2	TRUE	NA
